,index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
30,Jun-19,₦495.33,₦39.31,₦342.82,₦311.40,"₦1,003.20","₦1,240.44",₦292.73,₦274.49,₦373.49,"₦1,727.36","₦1,024.68","₦1,528.98",₦693.61,₦905.44,"₦1,394.73",₦156.95,₦188.90,"₦1,752.97",₦145.31,₦156.02,₦558.30,₦899.83,₦274.10,₦926.08,₦140.41,₦143.25,₦991.45,"₦1,786.80",₦208.87,₦461.52,₦220.44,₦207.37,₦318.26,₦271.10,₦308.07,₦352.83,₦135.20,₦845.73,₦940.57,₦226.07,₦495.41,₦674.83,₦182.15
31,Jul-19,₦468.31,₦38.38,₦327.18,₦289.78,"₦1,009.69","₦1,246.78",₦293.49,₦271.02,₦367.44,"₦1,700.51",₦994.21,"₦1,504.20",₦663.03,₦877.13,"₦1,373.11",₦157.14,₦188.59,"₦1,783.38",₦151.73,₦154.05,₦545.13,₦887.69,₦250.34,₦911.43,₦135.76,₦140.09,₦971.74,"₦1,763.72",₦193.56,₦447.40,₦217.22,₦203.44,₦314.56,₦277.38,₦305.93,₦356.10,₦137.48,₦812.22,₦927.61,₦203.55,₦485.05,₦667.97,₦170.85
32,Aug-19,₦461.89,₦40.57,₦307.27,₦273.71,"₦1,007.39","₦1,244.23",₦301.36,₦275.40,₦366.22,"₦1,712.11","₦1,008.32","₦1,515.95",₦685.16,₦891.87,"₦1,379.51",₦156.98,₦186.61,"₦1,770.45",₦154.10,₦167.34,₦557.44,₦907.70,₦271.48,₦914.58,₦138.26,₦142.00,₦979.84,"₦1,768.23",₦206.04,₦454.62,₦225.04,₦210.27,₦310.03,₦272.77,₦309.27,₦356.61,₦137.61,₦833.59,₦949.05,₦223.86,₦491.41,₦663.26,₦190.04
33,Sep-19,₦456.81,₦41.30,₦318.99,₦285.74,"₦1,021.84","₦1,257.58",₦302.59,₦275.89,₦370.30,"₦1,709.80","₦1,002.53","₦1,499.70",₦670.87,₦874.72,"₦1,381.57",₦159.61,₦186.15,"₦1,901.64",₦154.55,₦172.23,₦557.51,₦913.41,₦268.57,₦921.47,₦141.75,₦142.19,₦978.23,"₦1,762.50",₦203.54,₦457.49,₦220.42,₦204.02,₦322.10,₦290.16,₦326.40,₦371.13,₦142.00,₦813.43,₦952.31,₦227.50,₦486.90,₦664.02,₦190.23
34,Oct-19,₦462.46,₦40.51,₦308.93,₦292.00,"₦1,025.69","₦1,281.59",₦296.56,₦278.66,₦371.89,"₦1,697.55","₦1,004.38","₦1,494.81",₦659.60,₦880.90,"₦1,397.91",₦159.51,₦187.44,"₦1,993.98",₦162.42,₦175.57,₦562.59,₦925.05,₦264.29,₦938.02,₦142.25,₦138.74,₦979.20,"₦1,741.27",₦202.88,₦464.70,₦208.69,₦200.11,₦340.27,₦303.69,₦339.78,₦382.57,₦138.46,₦815.55,₦956.75,₦233.38,₦502.34,₦675.30,₦179.75
35,Nov-19,₦463.91,₦41.18,₦307.30,₦284.65,"₦1,026.24","₦1,293.00",₦299.59,₦280.51,₦396.86,"₦1,723.23","₦1,027.76","₦1,501.28",₦686.71,₦893.00,"₦1,423.23",₦157.21,₦183.56,"₦2,008.39",₦160.06,₦181.32,₦580.03,₦956.79,₦289.23,₦951.67,₦149.63,₦151.65,"₦1,002.74","₦1,756.42",₦226.06,₦466.93,₦218.01,₦203.49,₦384.04,₦344.01,₦378.50,₦445.45,₦146.58,₦859.55,₦975.39,₦251.21,₦512.53,₦673.48,₦203.20
36,Dec-19,₦457.80,₦40.72,₦299.48,₦281.60,"₦1,045.86","₦1,292.52",₦304.06,₦277.79,₦406.94,"₦1,732.45","₦1,043.41","₦1,507.39",₦699.06,₦915.62,"₦1,444.94",₦157.89,₦184.80,"₦1,995.58",₦159.39,₦183.26,₦580.45,₦969.60,₦304.46,₦953.29,₦151.88,₦153.00,"₦1,010.99","₦1,774.96",₦240.55,₦469.43,₦213.04,₦204.30,₦390.18,₦345.94,₦381.68,₦459.90,₦147.46,₦884.07,₦981.21,₦263.90,₦516.29,₦676.20,₦206.82
37,Jan-20,₦454.17,₦40.17,₦285.61,₦268.80,"₦1,031.53","₦1,289.80",₦302.45,₦276.26,₦409.31,"₦1,720.55","₦1,025.13","₦1,502.48",₦685.98,₦909.31,"₦1,454.59",₦157.11,₦185.63,"₦1,983.14",₦159.64,₦182.19,₦571.88,₦964.40,₦281.09,₦946.05,₦148.86,₦149.62,"₦1,000.41","₦1,758.76",₦225.83,₦457.59,₦206.17,₦197.06,₦382.21,₦338.58,₦381.42,₦453.24,₦141.23,₦870.06,₦962.96,₦237.22,₦515.48,₦672.79,₦193.04
38,Feb-20,₦448.26,₦39.29,₦276.30,₦255.25,"₦1,035.38","₦1,279.60",₦303.06,₦275.20,₦404.32,"₦1,713.30","₦1,022.84","₦1,496.07",₦684.50,₦922.52,"₦1,440.71",₦150.54,₦183.81,"₦1,948.59",₦159.33,₦186.35,₦572.36,₦961.21,₦286.21,₦932.21,₦150.15,₦151.53,₦992.95,"₦1,764.13",₦231.60,₦457.31,₦207.82,₦201.83,₦377.69,₦334.11,₦373.16,₦444.04,₦141.34,₦863.29,₦948.14,₦241.78,₦520.95,₦668.01,₦189.53
39,Mar-20,₦461.15,₦39.90,₦267.81,₦241.74,"₦1,025.48","₦1,276.10",₦304.60,₦278.79,₦390.54,"₦1,711.32","₦1,027.30","₦1,501.97",₦691.70,₦920.52,"₦1,432.95",₦153.37,₦183.12,"₦1,941.04",₦164.60,₦192.41,₦583.22,₦960.69,₦301.24,₦928.27,₦150.78,₦150.97,₦991.44,"₦1,742.72",₦236.36,₦451.37,₦220.91,₦218.05,₦369.89,₦313.10,₦368.36,₦438.66,₦149.46,₦854.86,₦960.47,₦255.33,₦530.85,₦674.14,₦206.12
40,Apr-20,₦476.72,₦41.54,₦277.05,₦250.33,"₦1,047.12","₦1,307.68",₦316.55,₦288.45,₦408.05,"₦1,724.52","₦1,048.90","₦1,524.80",₦711.61,₦935.60,"₦1,447.58",₦160.98,₦190.17,"₦1,958.10",₦190.23,₦211.83,₦601.03,₦987.10,₦309.85,₦953.14,₦165.83,₦166.42,"₦1,004.18","₦1,762.88",₦227.59,₦464.08,₦236.49,₦230.20,₦393.34,₦342.49,₦394.56,₦471.84,₦153.89,₦870.49,₦986.88,₦277.00,₦551.92,₦692.60,₦230.09
41,May-20,₦462.46,₦40.84,₦277.49,₦251.43,"₦1,053.47","₦1,306.47",₦315.00,₦285.17,₦405.58,"₦1,709.24","₦1,044.13","₦1,523.47",₦701.66,₦929.24,"₦1,445.67",₦161.16,₦190.00,"₦1,944.56",₦196.16,₦222.25,₦601.14,₦994.47,₦304.60,₦959.22,₦167.88,₦169.75,₦997.39,"₦1,751.08",₦221.40,₦463.50,₦226.36,₦218.81,₦389.77,₦344.91,₦392.54,₦463.21,₦154.62,₦860.95,"₦1,004.66",₦278.23,₦554.77,₦698.45,₦236.90
